,acc,loss,val_acc,val_loss
0,0.1624,1.97278511734,0.185,1.7969087429
1,0.1882,1.80673236465,0.216,1.7572727623
2,0.2077,1.7642777071,0.193,1.73109584522
3,0.2143,1.72303309975,0.196,1.70894947433
4,0.2338,1.68521779728,0.207,1.67818370628
5,0.2588,1.64165242043,0.212,1.68326700687
6,0.2863,1.59894610195,0.255,1.65135554886
7,0.3113,1.56299132042,0.239,1.65643713284
8,0.3462,1.5190172226,0.229,1.70278109169
9,0.3704,1.48035277119,0.258,1.7147846241
10,0.3944,1.44190009117,0.246,1.71558013916
11,0.4125,1.4082872736,0.269,1.70527161407
12,0.4348,1.36555416565,0.245,1.75603252792
13,0.4603,1.31910240021,0.25,1.7542362442
14,0.4815,1.28013784695,0.245,1.79797404671
15,0.492,1.24680696754,0.253,1.83147112656
16,0.5083,1.21062828236,0.24,1.84953409958
17,0.5316,1.16945980854,0.234,1.86822305679
18,0.5439,1.13713042812,0.253,1.9213775444
19,0.5592,1.10661432858,0.246,1.93700605965
20,0.5763,1.07087235718,0.245,1.99545126343
21,0.5854,1.03846721992,0.236,1.98519172287
22,0.6063,1.01046990671,0.236,2.04032494354
23,0.6136,0.981786955261,0.231,2.06338751411
24,0.6237,0.956641064453,0.236,2.11836110306
25,0.6379,0.934440282631,0.243,2.16847956657
26,0.647,0.90653324585,0.236,2.18057534409
27,0.6507,0.887410622406,0.228,2.26569506454
28,0.6657,0.867531459045,0.222,2.27398263168
29,0.661,0.861210769176,0.23,2.27431727409
30,0.6749,0.828993239403,0.239,2.29376592445
31,0.686,0.807685709572,0.227,2.37330016708
32,0.6831,0.802374423218,0.22,2.42498851013
33,0.6934,0.790084277821,0.223,2.43739328766
34,0.7014,0.774684549332,0.221,2.45151575851
35,0.7073,0.752586112022,0.228,2.4552664299
36,0.7145,0.738497691345,0.228,2.48458195114
37,0.7163,0.735755271721,0.228,2.54605875778
38,0.7222,0.718808224106,0.224,2.52236781311
39,0.7305,0.702723045063,0.219,2.6365987854
40,0.7307,0.693481410122,0.21,2.60109645844
41,0.7415,0.678743544483,0.219,2.65658750153
42,0.7371,0.667427854538,0.213,2.72846265411
43,0.7461,0.66306321125,0.229,2.7735316925
44,0.7475,0.659296122456,0.226,2.74508109665
45,0.7496,0.653572941732,0.22,2.74958570862
46,0.7602,0.638275573635,0.208,2.78809749222
47,0.7589,0.627609928846,0.202,2.84153168488
48,0.7611,0.621372007179,0.219,2.86152054214
49,0.7601,0.625852684116,0.207,2.83030161285
50,0.7679,0.601372217035,0.228,2.85809499359
51,0.775,0.598149603271,0.229,2.92908306122
52,0.7721,0.594507892942,0.219,2.95319897842
53,0.7733,0.597943761349,0.222,3.02970501328
54,0.7818,0.570957396412,0.224,2.98033516312
55,0.7763,0.579374692631,0.209,2.97524783707
56,0.7863,0.564166541767,0.209,3.05002608109
57,0.7864,0.567003628182,0.234,3.05241730881
58,0.7845,0.557399562502,0.222,3.13722101974
59,0.7884,0.555242788839,0.214,3.10351567841
60,0.7945,0.542794404316,0.212,3.18554880905
61,0.7935,0.541973987484,0.225,3.16052851868
62,0.796,0.545361815357,0.213,3.13284155655
63,0.8026,0.521401973295,0.227,3.23462882614
64,0.8037,0.521376025677,0.223,3.27333272934
65,0.8034,0.515077016068,0.222,3.20681271362
66,0.8047,0.506375581932,0.221,3.27240016174
67,0.8131,0.500065304422,0.228,3.36792192078
68,0.8046,0.516023862123,0.211,3.27518266296
69,0.8089,0.502970068073,0.228,3.25070002747
70,0.8135,0.493519445944,0.218,3.4430484848
71,0.8064,0.503417723227,0.205,3.44257389069
72,0.8087,0.499946958303,0.224,3.39015410614
73,0.8175,0.488015402794,0.218,3.3661205101
74,0.8224,0.476883362389,0.221,3.42915288925
75,0.8194,0.480721648264,0.227,3.47705152512
76,0.823,0.469865129972,0.233,3.54903903961
77,0.8213,0.469487232113,0.2,3.62188340378
78,0.8281,0.465620941257,0.219,3.532425354
79,0.8229,0.469432852411,0.215,3.58816371918
80,0.8238,0.466063385105,0.212,3.66459542847
81,0.8255,0.464108704185,0.211,3.56838722992
82,0.8252,0.465385893726,0.208,3.64142856598
83,0.8259,0.459548599243,0.2,3.6894347229
84,0.8323,0.453417361593,0.222,3.55168566513
85,0.8317,0.445662458611,0.207,3.71531331253
86,0.8387,0.430886003399,0.225,3.70055067444
87,0.8378,0.437159320259,0.215,3.68163265991
88,0.8322,0.439577732754,0.211,3.76517328262
89,0.8342,0.437909873295,0.205,3.72546057129
90,0.8389,0.432041281247,0.21,3.82066590118
91,0.837,0.430242906046,0.204,3.71356410217
92,0.8464,0.417044983339,0.21,3.80614134979
93,0.8429,0.426619097519,0.209,3.89435080719
94,0.8419,0.425256953454,0.215,3.77915059662
95,0.8408,0.42645564065,0.209,3.7992237587
96,0.8408,0.424872395611,0.213,3.79083834076
97,0.8463,0.420210678196,0.213,3.87203831863
98,0.844,0.423555822265,0.206,3.81968337631
99,0.8447,0.409474051619,0.212,3.93196348953
