,acc,loss,val_acc,val_loss
0,0.4392,1.17302801781,0.43,1.00329825878
1,0.4583,0.961526383591,0.436,0.952710927963
2,0.4718,0.928478475666,0.491,0.927389077187
3,0.4783,0.920058937645,0.455,0.927340122223
4,0.4745,0.912351927757,0.488,0.94307740593
5,0.4821,0.908570170498,0.478,0.917355117798
6,0.4879,0.90556107769,0.489,0.916424427986
7,0.4886,0.900935349274,0.482,0.91142555809
8,0.4834,0.899961188126,0.486,0.920594638824
9,0.4875,0.897835042,0.475,0.914173212051
10,0.4881,0.893488180923,0.474,0.912571259499
11,0.4912,0.889585893631,0.469,0.911172763824
12,0.4854,0.890316661644,0.481,0.912570290565
13,0.501,0.883367389679,0.477,0.906586170197
14,0.4971,0.878345470142,0.475,0.903269660473
15,0.5099,0.86514224205,0.447,0.896423384666
16,0.5094,0.851680369949,0.484,0.880811796188
17,0.5181,0.833894462013,0.503,0.835697386265
18,0.5174,0.815647150803,0.485,0.820672441483
19,0.5332,0.800367640877,0.493,0.810422429085
20,0.5385,0.785266938686,0.473,0.802878669739
21,0.5439,0.779734098625,0.471,0.801661824226
22,0.5383,0.776829733753,0.457,0.80839867115
23,0.5483,0.759127824879,0.505,0.838710759163
24,0.5719,0.751216047287,0.545,0.778093500614
25,0.5907,0.7380879673,0.587,0.755870153904
26,0.6203,0.714186165047,0.619,0.725885508537
27,0.6621,0.676724471855,0.691,0.653754061699
28,0.7102,0.629205903149,0.735,0.593459738731
29,0.732,0.590831396198,0.748,0.546581281662
30,0.7511,0.564082309628,0.764,0.513068230629
31,0.7669,0.526191316128,0.774,0.491032059669
32,0.7798,0.500990132618,0.798,0.474973187685
33,0.7896,0.473638146257,0.815,0.440706703424
34,0.8022,0.452520919657,0.825,0.413386878252
35,0.8149,0.422657184792,0.832,0.386884405136
36,0.8211,0.406025437927,0.853,0.363732415199
37,0.8324,0.382365729356,0.845,0.345978417158
38,0.8379,0.373268645024,0.862,0.344130514264
39,0.845,0.354871475124,0.865,0.339969351053
40,0.8532,0.3351554739,0.873,0.311841799855
41,0.8623,0.3268850142,0.872,0.311790653467
42,0.8636,0.311219924212,0.887,0.283667057753
43,0.8744,0.301924998283,0.893,0.273084380805
44,0.873,0.291592612112,0.893,0.266628646672
45,0.8844,0.271787934709,0.894,0.265179080725
46,0.8854,0.271893085384,0.901,0.248896368146
47,0.8937,0.256208841062,0.898,0.250829133868
48,0.8965,0.256769448638,0.899,0.239165011525
49,0.8978,0.243295813429,0.908,0.235236650944
50,0.8965,0.242871122265,0.914,0.227958997965
51,0.9079,0.236544596386,0.909,0.230137026787
52,0.9116,0.222894988227,0.909,0.23468085295
53,0.9144,0.21956176641,0.918,0.220886198968
54,0.9181,0.208566339922,0.911,0.219681573674
55,0.9157,0.201843772304,0.914,0.21585187003
56,0.9247,0.19207925247,0.914,0.218325419545
57,0.9224,0.194650279093,0.916,0.204987414628
58,0.9268,0.18864196977,0.929,0.200060979307
59,0.9296,0.185456223923,0.921,0.198102545217
60,0.9329,0.178790304053,0.926,0.1858298731
61,0.9334,0.174932651848,0.917,0.210266676366
62,0.932,0.177477725953,0.925,0.188718706593
63,0.935,0.175834220511,0.921,0.199528202116
64,0.9401,0.159411616284,0.931,0.189241464555
65,0.935,0.169255708915,0.923,0.202018741064
66,0.9377,0.161064749649,0.924,0.187266040206
67,0.9424,0.151870561182,0.924,0.190013907298
68,0.9442,0.149826980537,0.917,0.193752161287
69,0.9409,0.149103845948,0.929,0.18555536167
70,0.9445,0.147331907108,0.922,0.202252640091
71,0.9439,0.142189589173,0.927,0.186805647403
72,0.9464,0.130822205943,0.933,0.175818983704
73,0.9488,0.138309474471,0.935,0.194329394996
74,0.951,0.133522869082,0.931,0.191868106695
75,0.9506,0.134764649346,0.924,0.207975717774
76,0.9537,0.129405780979,0.925,0.205257329732
77,0.9527,0.123705419943,0.931,0.181266307101
78,0.9544,0.122554401723,0.928,0.1903095755
79,0.9566,0.124522965327,0.936,0.193418609835
80,0.9557,0.118408272108,0.942,0.177987934055
81,0.9554,0.117763338673,0.927,0.197333482226
82,0.9592,0.117444733429,0.93,0.199248670156
83,0.9597,0.111721596068,0.933,0.183489623643
84,0.9574,0.110393462023,0.928,0.203529559193
85,0.9597,0.108093450946,0.938,0.187957651412
86,0.9604,0.111437855188,0.931,0.1989994561
87,0.9604,0.108111019742,0.929,0.19989952394
88,0.9634,0.100369445886,0.943,0.166322297732
89,0.9631,0.10352326361,0.939,0.194145574431
90,0.9676,0.0959113975838,0.943,0.186504747743
91,0.9645,0.10264935261,0.94,0.185211536922
92,0.9641,0.10384512956,0.936,0.193578466433
93,0.9679,0.0909360890977,0.939,0.185355007082
94,0.9654,0.0955300472822,0.931,0.214767486833
95,0.9664,0.0920351845928,0.941,0.210188696638
96,0.9678,0.0944481807284,0.935,0.206213725761
97,0.9682,0.0888304818623,0.937,0.192233134286
98,0.9712,0.0860964707479,0.942,0.203717088237
99,0.968,0.0903620584317,0.935,0.224645172518
