,acc,loss,val_acc,val_loss
0,0.1626,2.07931828041,0.156,1.79480462456
1,0.1674,1.89016725636,0.171,1.79358448982
2,0.1697,1.85530921593,0.171,1.79358903885
3,0.1671,1.82861728191,0.167,1.79350380421
4,0.1619,1.81698070469,0.191,1.79146074486
5,0.1656,1.80729173813,0.171,1.79480049324
6,0.1739,1.79905013428,0.153,1.78884937763
7,0.1747,1.7943781105,0.24,1.76187877464
8,0.1985,1.77722442284,0.292,1.71393977642
9,0.2302,1.74260244637,0.295,1.67537078667
10,0.2479,1.70460184193,0.275,1.6281132555
11,0.2583,1.67283182068,0.27,1.5758671875
12,0.2784,1.64077444649,0.29,1.53734638882
13,0.2767,1.62483059368,0.319,1.51516735649
14,0.2807,1.62371826763,0.307,1.53151615238
15,0.2815,1.60614160538,0.345,1.50033705711
16,0.2774,1.59329336166,0.283,1.51308706284
17,0.2837,1.58195148582,0.308,1.48505178738
18,0.29,1.57613400249,0.321,1.50262475014
19,0.2828,1.58127376575,0.263,1.4962121563
20,0.2963,1.56547917633,0.358,1.4894840641
21,0.2898,1.56096602249,0.294,1.48799694061
22,0.3018,1.54933421173,0.327,1.47081898308
23,0.2993,1.54730588226,0.296,1.47619965172
24,0.3131,1.53747103977,0.367,1.4312027626
25,0.3243,1.52522838898,0.329,1.44571421242
26,0.3314,1.52173481293,0.361,1.41041097832
27,0.3638,1.49194316483,0.445,1.36876567459
28,0.3776,1.46988265018,0.389,1.36076531029
29,0.3876,1.45391818714,0.448,1.34095562744
30,0.4072,1.43391890488,0.436,1.32953164577
31,0.4106,1.42760525913,0.414,1.32216166687
32,0.4246,1.41524895973,0.459,1.34172378445
33,0.4273,1.4051428978,0.49,1.29061063576
34,0.4279,1.41031299515,0.463,1.26209074974
35,0.4239,1.41528590889,0.442,1.29585155678
36,0.4359,1.39514496441,0.499,1.24957173538
37,0.4263,1.39478237419,0.441,1.27127433777
38,0.4292,1.39480323753,0.422,1.27207795906
39,0.4295,1.39708600082,0.462,1.25309449482
40,0.4381,1.37221949272,0.514,1.22360887146
41,0.4256,1.38675429554,0.497,1.22256350803
42,0.441,1.36511716042,0.473,1.23533948517
43,0.4415,1.36108360214,0.46,1.24349865341
44,0.4364,1.37598969727,0.5,1.23330966759
45,0.4386,1.36734429626,0.472,1.23380798912
46,0.4451,1.35823327007,0.528,1.22629512215
47,0.4448,1.35187652187,0.508,1.20756426239
48,0.4484,1.35470783234,0.48,1.20857920551
49,0.4425,1.34504273071,0.519,1.18689525795
50,0.4466,1.35155445862,0.491,1.23018155098
51,0.4525,1.34642739525,0.498,1.20558363342
52,0.4505,1.33914988136,0.519,1.19694903851
53,0.4513,1.33510510426,0.503,1.19304245758
54,0.4444,1.34239929504,0.487,1.21702241325
55,0.4526,1.33605776367,0.505,1.17730440712
56,0.4523,1.33831298695,0.504,1.16895244408
57,0.4465,1.34021891518,0.506,1.18004785061
58,0.4622,1.32919963303,0.546,1.17238934517
59,0.4542,1.33364653454,0.522,1.16504171848
60,0.4508,1.32971444111,0.527,1.18457510662
61,0.4619,1.32229374847,0.536,1.17069431305
62,0.4596,1.32077573013,0.518,1.16715577984
63,0.4554,1.3287063261,0.503,1.1680221405
64,0.4586,1.31513912487,0.527,1.16540703392
65,0.4723,1.30180907516,0.533,1.13890399742
66,0.4581,1.31309899483,0.496,1.15213282585
67,0.4751,1.29631871548,0.499,1.17248923683
68,0.4543,1.31111407604,0.534,1.14891753006
69,0.4645,1.30452446556,0.553,1.13368950653
70,0.4674,1.29761848106,0.551,1.14853514481
71,0.4676,1.30226460667,0.552,1.14185355377
72,0.4706,1.30032134609,0.524,1.1447281723
73,0.4707,1.29453438854,0.53,1.13569203568
74,0.4741,1.3006656086,0.543,1.12184533119
75,0.4704,1.28853548832,0.543,1.11735162926
76,0.469,1.29565103111,0.565,1.11145991421
77,0.4776,1.28771476192,0.539,1.12134865952
78,0.4785,1.29030175629,0.556,1.12441223335
79,0.4778,1.29349794827,0.554,1.1092853241
80,0.4917,1.26332186127,0.559,1.09859763908
81,0.4751,1.27940717564,0.565,1.09232275009
82,0.4882,1.26698122616,0.566,1.08887623692
83,0.4905,1.25888568535,0.554,1.09429850578
84,0.489,1.26005891094,0.581,1.08042462349
85,0.4775,1.27885660057,0.579,1.0736505146
86,0.4913,1.25355403767,0.569,1.06555763435
87,0.4794,1.26479524269,0.58,1.05885331059
88,0.4868,1.26522864323,0.573,1.0560758791
89,0.4868,1.25410579281,0.585,1.02912396812
90,0.4898,1.23918229904,0.599,1.01254946804
91,0.4969,1.22780710926,0.587,0.994282621384
92,0.4972,1.22304985352,0.596,0.980039520264
93,0.4992,1.21618196354,0.588,0.981592464447
94,0.5014,1.21793676548,0.577,0.994060945511
95,0.5023,1.20500732841,0.574,0.974865980148
96,0.5036,1.20284572144,0.595,0.966759137154
97,0.5075,1.19717841282,0.604,0.959648038864
98,0.4984,1.19824468002,0.604,0.953192717552
99,0.493,1.20442784424,0.577,0.963955652237
